filepath,x1,y1,x2,y2,class_name
00093.jpg,42,148,480,402, 175
00094.jpg,12,62,510,458, 112
00095.jpg,44,111,485,424, 122
00096.jpg,49,129,442,398, 104
00097.jpg,19,61,498,441, 57
00098.jpg,52,44,462,432, 51
00099.jpg,27,80,487,486, 37
00100.jpg,23,256,484,504, 71
00101.jpg,35,26,470,494, 193
00102.jpg,105,184,422,315, 105
00103.jpg,68,114,487,406, 61
00104.jpg,1,108,512,448, 74
00105.jpg,28,177,483,415, 133
00106.jpg,117,170,402,366, 162
00107.jpg,44,47,461,458, 131
00108.jpg,16,86,512,473, 88
00109.jpg,35,36,490,443, 121
00110.jpg,16,2,504,497, 180
00111.jpg,33,5,485,493, 180
00112.jpg,236,192,440,422, 137
00113.jpg,45,111,350,436, 133
00114.jpg,15,86,499,477, 71
00115.jpg,33,172,481,465, 83
00116.jpg,85,124,434,417, 110
00117.jpg,57,58,450,457, 42
00118.jpg,70,286,480,502, 177
00119.jpg,64,184,451,479, 147
00120.jpg,7,64,499,389, 161
00121.jpg,39,152,389,485, 109
00122.jpg,122,171,397,450, 28
00123.jpg,36,184,476,413, 144
00124.jpg,25,210,486,425, 53
00125.jpg,33,253,473,451, 29
00126.jpg,28,118,497,467, 66
00127.jpg,56,136,443,426, 79
00128.jpg,100,121,414,441, 13
00129.jpg,42,117,499,401, 136
00130.jpg,76,171,434,392, 143
00131.jpg,146,138,460,337, 171
00132.jpg,79,83,445,414, 89
00133.jpg,11,179,454,512, 135
00134.jpg,1,5,506,506, 161
00135.jpg,2,153,418,458, 58
00136.jpg,35,79,476,443, 122
00137.jpg,36,105,474,429, 178
00138.jpg,41,137,456,438, 56
00139.jpg,46,205,401,460, 184
00140.jpg,49,101,506,462, 191
00141.jpg,13,150,507,369, 40
00142.jpg,39,224,476,474, 60
00143.jpg,55,60,435,491, 155
00144.jpg,95,113,408,388, 71
00145.jpg,46,19,403,483, 140
00146.jpg,3,15,508,499, 42
00147.jpg,5,17,500,457, 76
00148.jpg,19,83,486,404, 187
00149.jpg,61,2,439,512, 86
00150.jpg,9,233,501,433, 8
00151.jpg,13,104,501,421, 5
00152.jpg,18,100,405,475, 47
00153.jpg,4,147,501,385, 30
00154.jpg,21,206,492,478, 18
00155.jpg,24,1,507,477, 149
00156.jpg,45,64,432,428, 174
00157.jpg,16,86,486,440, 138
00158.jpg,30,125,478,451, 179
00159.jpg,18,92,494,462, 24
00160.jpg,93,67,447,419, 42
00161.jpg,9,88,503,377, 73
00162.jpg,32,75,467,438, 176
00163.jpg,33,81,483,417, 1
00164.jpg,25,76,472,459, 37
00165.jpg,27,150,501,509, 36
00166.jpg,4,98,485,348, 108
00167.jpg,22,50,499,480, 41
00168.jpg,88,102,452,414, 40
00169.jpg,7,108,512,398, 119
00170.jpg,38,75,492,483, 119
00171.jpg,69,117,447,475, 19
00172.jpg,6,181,504,448, 163
00173.jpg,25,78,490,439, 120
00174.jpg,25,76,492,419, 54
00175.jpg,44,115,472,482, 116
00176.jpg,22,56,502,372, 66
00177.jpg,71,34,475,474, 50
00178.jpg,8,85,486,451, 122
00179.jpg,33,120,480,468, 155
00180.jpg,5,108,506,425, 142
00181.jpg,42,170,456,501, 68
00182.jpg,21,157,500,440, 170
00183.jpg,5,30,501,426, 161
00184.jpg,27,61,483,413, 161
00185.jpg,19,37,496,467, 133
00186.jpg,11,185,490,457, 125
00187.jpg,1,174,512,398, 160
00188.jpg,10,97,496,458, 93
00189.jpg,14,16,466,449, 183
00190.jpg,79,221,508,498, 45
00191.jpg,88,81,446,460, 143
00192.jpg,63,54,442,482, 189
00193.jpg,41,71,495,482, 48
00194.jpg,74,214,484,503, 176
00195.jpg,53,160,466,365, 77
00196.jpg,44,104,453,484, 190
00197.jpg,44,119,466,435, 110
00198.jpg,77,137,489,406, 6
00199.jpg,48,127,411,356, 191
00200.jpg,45,110,453,375, 16
00201.jpg,26,2,494,512, 12
00202.jpg,74,104,392,387, 90
00203.jpg,16,133,504,436, 188
00204.jpg,18,184,484,457, 128
00205.jpg,23,84,489,427, 23
00206.jpg,93,236,446,462, 11
00207.jpg,33,163,477,355, 93
00208.jpg,35,274,490,464, 8
00209.jpg,29,104,498,488, 63
00210.jpg,6,85,511,390, 173
00211.jpg,9,60,503,470, 176
00212.jpg,15,52,502,409, 72
00213.jpg,63,141,445,434, 195
00214.jpg,35,52,457,426, 114
00215.jpg,75,131,436,364, 72
00216.jpg,74,213,472,417, 119
00217.jpg,36,41,475,473, 18
00218.jpg,49,160,431,418, 77
00219.jpg,71,1,477,450, 18
00220.jpg,17,146,492,493, 107
00221.jpg,29,32,488,462, 10
00222.jpg,73,76,450,446, 196
00223.jpg,43,176,306,442, 99
00224.jpg,48,34,453,457, 88
00225.jpg,22,74,509,468, 121
00226.jpg,90,39,399,411, 111
00227.jpg,28,67,490,423, 61
00228.jpg,125,149,475,348, 141
00229.jpg,9,121,504,364, 136
00230.jpg,30,100,511,457, 183
00231.jpg,58,116,484,398, 106
00232.jpg,12,126,464,439, 84
00233.jpg,88,59,478,456, 194
00234.jpg,33,186,412,488, 132
00235.jpg,47,67,439,430, 111
00236.jpg,16,157,487,482, 7
00237.jpg,14,17,506,452, 65
00238.jpg,139,116,449,443, 26
00239.jpg,7,50,504,453, 16
00240.jpg,76,136,428,389, 138
00241.jpg,16,39,505,472, 170
00242.jpg,18,129,499,407, 102
00243.jpg,184,248,496,454, 168
00244.jpg,22,132,510,470, 7
00245.jpg,20,106,493,430, 61
00246.jpg,0,158,512,472, 167
00247.jpg,26,118,483,443, 137
00248.jpg,44,192,437,445, 177
00249.jpg,4,165,504,480, 153
00250.jpg,21,92,486,490, 190
00251.jpg,90,97,469,408, 167
00252.jpg,68,139,471,442, 105
00253.jpg,40,112,463,357, 50
00254.jpg,35,34,505,448, 131
00255.jpg,18,94,475,480, 6
00256.jpg,44,182,402,433, 21
00257.jpg,18,155,493,350, 31
00258.jpg,67,226,448,438, 51
00259.jpg,14,66,496,508, 187
00260.jpg,19,162,496,412, 134
00261.jpg,40,150,483,420, 16
00262.jpg,137,172,436,383, 103
00263.jpg,81,206,336,465, 40
00264.jpg,43,98,483,408, 69
00265.jpg,19,142,495,375, 55
00266.jpg,14,256,503,471, 17
00267.jpg,20,160,496,450, 46
00268.jpg,39,63,476,478, 74
00269.jpg,23,204,484,417, 185
00270.jpg,20,160,487,425, 122
00271.jpg,39,109,501,379, 174
00272.jpg,6,1,503,505, 100
00273.jpg,39,92,488,456, 69
00274.jpg,31,105,445,475, 20
00275.jpg,140,249,422,488, 130
00276.jpg,60,99,423,384, 132
00277.jpg,36,128,463,408, 173
00278.jpg,1,100,496,356, 156
00279.jpg,14,45,491,432, 47
00280.jpg,5,89,500,476, 107
00281.jpg,186,315,337,448, 151
00282.jpg,21,137,490,506, 61
00283.jpg,72,197,432,355, 105
00284.jpg,24,67,471,412, 94
00285.jpg,5,33,507,500, 194
00286.jpg,58,95,384,475, 195
00287.jpg,22,159,506,384, 91
00288.jpg,102,150,440,452, 189
00289.jpg,131,189,474,408, 15
00290.jpg,43,28,396,486, 140
00291.jpg,23,125,488,401, 142
00292.jpg,70,124,429,428, 10
00293.jpg,12,31,479,441, 104
00294.jpg,8,150,503,411, 48
00295.jpg,120,121,419,461, 50
00296.jpg,14,122,494,486, 120
00297.jpg,44,167,511,485, 87
00298.jpg,61,126,453,462, 177
00299.jpg,12,44,491,474, 147
00300.jpg,20,68,497,461, 169
00301.jpg,88,76,421,401, 121
00302.jpg,1,100,505,463, 19
00303.jpg,10,106,506,439, 31
00304.jpg,27,77,455,450, 156
00305.jpg,94,80,432,466, 143
00306.jpg,29,133,465,486, 83
00307.jpg,68,33,474,476, 58
00308.jpg,10,145,496,445, 6
00309.jpg,40,130,471,360, 127
00310.jpg,43,61,491,453, 131
00311.jpg,1,126,512,416, 15
00312.jpg,42,84,501,494, 73
00313.jpg,13,67,488,443, 24
00314.jpg,26,75,492,464, 87
00315.jpg,135,102,376,445, 170
00316.jpg,17,70,483,399, 123
00317.jpg,3,109,512,461, 158
00318.jpg,59,195,364,462, 11
00319.jpg,33,9,502,477, 47
00320.jpg,41,29,438,481, 7
00321.jpg,33,67,474,423, 94
00322.jpg,4,202,504,451, 75
00323.jpg,103,251,404,396, 182
00324.jpg,36,101,485,480, 186
00325.jpg,20,53,486,363, 128
00326.jpg,32,54,491,488, 193
00327.jpg,1,8,508,416, 180
00328.jpg,69,126,416,452, 62
00329.jpg,7,107,482,486, 114
00330.jpg,172,141,340,468, 166
00331.jpg,20,86,476,417, 181
00332.jpg,58,319,307,512, 101
00333.jpg,30,159,483,457, 103
00334.jpg,63,170,498,508, 22
00335.jpg,45,81,466,464, 125
00336.jpg,82,283,471,471, 112
00337.jpg,41,76,493,428, 38
00338.jpg,14,183,470,512, 106
00339.jpg,72,13,434,486, 56
00340.jpg,118,191,416,384, 9
00341.jpg,31,77,487,406, 67
00342.jpg,123,211,407,471, 169
00343.jpg,40,30,486,430, 147
00344.jpg,23,56,492,378, 145
00345.jpg,51,34,462,512, 113
00346.jpg,19,5,489,490, 63
00347.jpg,50,126,453,460, 145
00348.jpg,13,102,494,461, 55
00349.jpg,21,55,489,466, 89
00350.jpg,33,137,488,416, 86
00351.jpg,13,172,464,486, 42
00352.jpg,114,56,461,341, 143
00353.jpg,3,98,510,474, 117
00354.jpg,22,158,492,445, 57
00355.jpg,14,62,505,450, 170
00356.jpg,59,133,441,463, 115
00357.jpg,36,75,482,411, 39
00358.jpg,43,127,464,388, 29
00359.jpg,21,75,504,450, 58
00360.jpg,23,60,484,464, 70
00361.jpg,9,45,501,440, 119
00362.jpg,86,129,431,380, 50
00363.jpg,16,85,485,426, 128
00364.jpg,25,106,488,418, 53
00365.jpg,13,83,484,507, 53
00366.jpg,63,79,483,487, 32
00367.jpg,24,143,502,407, 177
00368.jpg,22,162,467,416, 59
00369.jpg,32,62,482,429, 128
00370.jpg,47,196,472,481, 10
00371.jpg,5,102,508,448, 83
00372.jpg,1,182,237,471, 168
00373.jpg,121,212,402,419, 172
00374.jpg,6,167,505,453, 6
00375.jpg,75,53,433,449, 176
00376.jpg,37,124,458,489, 135
00377.jpg,16,51,499,483, 133
00378.jpg,27,52,494,454, 156
00379.jpg,59,145,471,439, 54
00380.jpg,112,91,492,447, 99
00381.jpg,67,120,465,441, 125
00382.jpg,4,75,505,498, 146
00383.jpg,64,1,439,459, 58
00384.jpg,45,125,440,418, 59
00385.jpg,164,225,477,406, 141
00386.jpg,26,160,492,414, 56
00387.jpg,23,112,503,478, 63
00388.jpg,36,141,488,466, 131
00389.jpg,6,136,493,372, 48
00390.jpg,8,21,500,494, 160
00391.jpg,115,111,357,420, 166
00392.jpg,31,146,496,444, 4
00393.jpg,55,177,493,466, 195
00394.jpg,162,134,443,368, 147
00395.jpg,114,118,405,435, 131
00396.jpg,21,135,452,402, 165
00397.jpg,51,65,481,373, 23
00398.jpg,34,146,481,380, 40
00399.jpg,82,117,447,422, 26
00400.jpg,59,142,484,428, 181
00401.jpg,32,169,493,505, 88
00402.jpg,1,30,501,409, 17
00403.jpg,95,92,453,414, 110
00404.jpg,20,144,494,394, 180
00405.jpg,33,54,495,481, 10
00406.jpg,0,104,495,426, 75
00407.jpg,16,189,424,458, 59
00408.jpg,52,129,366,453, 19
00409.jpg,16,70,484,493, 189
00410.jpg,37,169,487,352, 5
00411.jpg,44,72,500,403, 14
00412.jpg,48,139,477,503, 176
00413.jpg,26,160,490,427, 80
00414.jpg,101,187,406,485, 86
00415.jpg,20,212,490,444, 55
00416.jpg,61,104,460,391, 112
00417.jpg,50,73,482,410, 50
00418.jpg,15,119,496,465, 57
00419.jpg,40,94,467,412, 73
00420.jpg,72,98,435,504, 99
00421.jpg,48,172,471,372, 152
00422.jpg,54,168,472,461, 162
00423.jpg,55,62,509,491, 85
00424.jpg,25,128,482,499, 5
00425.jpg,39,56,476,472, 7
00426.jpg,34,169,489,460, 194
00427.jpg,26,136,464,488, 117
00428.jpg,26,108,476,457, 179
00429.jpg,66,194,458,428, 73
00430.jpg,65,88,471,407, 185
00431.jpg,37,214,427,454, 187
00432.jpg,55,174,439,481, 163
00433.jpg,29,126,440,430, 164
00434.jpg,30,135,477,438, 171
00435.jpg,16,82,496,355, 64
00436.jpg,35,122,486,432, 51
00437.jpg,22,103,492,482, 99
00438.jpg,46,135,488,465, 26
00439.jpg,8,104,507,489, 49
00440.jpg,12,85,486,435, 107
00441.jpg,38,67,488,454, 115
00442.jpg,64,79,472,395, 190
00443.jpg,73,158,430,380, 143
00444.jpg,2,6,238,480, 79
00445.jpg,38,72,443,330, 180
00446.jpg,18,65,496,468, 24
00447.jpg,44,171,473,462, 162
00448.jpg,29,71,493,466, 178
00449.jpg,61,163,471,404, 180
00450.jpg,51,86,454,421, 15
00451.jpg,54,118,416,506, 189
00452.jpg,100,95,436,375, 108
00453.jpg,78,129,472,395, 121
00454.jpg,80,163,455,491, 49
00455.jpg,138,58,488,353, 194
00456.jpg,134,176,486,478, 42
00457.jpg,63,90,480,455, 118
00458.jpg,16,131,494,378, 108
00459.jpg,28,82,436,476, 84
00460.jpg,47,92,443,360, 182
00461.jpg,88,2,442,497, 179
00462.jpg,30,64,499,464, 1
00463.jpg,36,32,496,484, 89
00464.jpg,36,144,442,386, 133
00465.jpg,42,128,453,423, 187
00466.jpg,83,278,408,512, 178
00467.jpg,92,242,413,469, 14
00468.jpg,1,55,512,453, 111
00469.jpg,13,135,494,398, 93
00470.jpg,4,22,498,472, 92
00471.jpg,5,18,500,435, 18
00472.jpg,9,168,506,482, 140
00473.jpg,35,100,492,469, 65
00474.jpg,57,164,318,447, 129
00475.jpg,13,95,502,438, 183
00476.jpg,76,133,468,416, 141
00477.jpg,80,131,461,467, 124
00478.jpg,41,42,448,493, 174
00479.jpg,85,36,442,493, 120
00480.jpg,57,121,472,353, 109
00481.jpg,11,123,499,492, 15
00482.jpg,64,97,471,457, 184
00483.jpg,14,36,498,486, 90
00484.jpg,24,93,434,436, 126
00485.jpg,74,167,427,425, 77
00486.jpg,34,78,469,425, 58
00487.jpg,13,52,505,380, 48
00488.jpg,47,90,353,357, 56
00489.jpg,56,127,464,444, 105
00490.jpg,41,134,460,430, 29
00491.jpg,47,23,458,491, 121
00492.jpg,10,115,489,411, 61
00493.jpg,13,118,512,409, 114
00494.jpg,15,179,495,379, 173
00495.jpg,55,65,431,510, 86
00496.jpg,12,88,510,489, 81
00497.jpg,6,130,512,472, 185
00498.jpg,62,122,448,442, 119
00499.jpg,14,59,496,481, 159
00500.jpg,18,22,501,471, 84
00501.jpg,13,153,498,440, 161
00502.jpg,4,67,461,512, 88
00503.jpg,9,81,418,404, 9
00504.jpg,88,166,468,364, 129
00505.jpg,96,232,446,453, 129
00506.jpg,14,140,434,462, 167
00507.jpg,94,224,402,431, 130
00508.jpg,27,101,499,448, 167
00509.jpg,55,177,480,465, 21
00510.jpg,8,79,502,423, 114
00511.jpg,59,51,455,490, 99
00512.jpg,50,170,491,447, 104
00513.jpg,10,199,487,427, 40
00514.jpg,30,56,498,417, 109
00515.jpg,29,159,481,377, 162
00516.jpg,14,105,490,455, 53
00517.jpg,10,150,504,509, 43
00518.jpg,67,150,468,469, 109
00519.jpg,13,100,492,457, 162
00520.jpg,27,155,500,374, 67
00521.jpg,97,209,409,468, 153
00522.jpg,32,50,512,490, 1
00523.jpg,16,125,500,440, 115
00524.jpg,31,121,487,436, 126
00525.jpg,118,202,400,434, 76
00526.jpg,51,205,484,424, 108
00527.jpg,36,5,483,480, 191
00528.jpg,74,195,419,427, 121
00529.jpg,36,48,461,454, 61
00530.jpg,49,84,466,475, 161
00531.jpg,40,146,474,375, 141
00532.jpg,20,148,485,365, 80
00533.jpg,40,111,498,431, 135
00534.jpg,15,158,496,474, 139
00535.jpg,162,115,441,458, 154
00536.jpg,23,123,474,436, 54
00537.jpg,0,164,507,386, 172
00538.jpg,17,114,494,403, 107
00539.jpg,35,17,482,491, 139
00540.jpg,5,120,512,394, 72
00541.jpg,20,118,469,473, 122
00542.jpg,20,83,480,449, 86
00543.jpg,10,134,508,409, 186
00544.jpg,7,76,506,382, 179
00545.jpg,1,189,510,489, 147
00546.jpg,40,175,358,438, 34
00547.jpg,49,130,466,415, 47
00548.jpg,21,95,488,461, 13
00549.jpg,7,9,505,500, 13
00550.jpg,14,250,504,494, 98
00551.jpg,145,282,490,477, 42
00552.jpg,7,117,508,425, 46
00553.jpg,12,122,497,438, 187
00554.jpg,65,81,478,405, 138
00555.jpg,29,122,482,437, 144
00556.jpg,50,191,469,455, 163
00557.jpg,74,12,462,437, 184
00558.jpg,49,60,487,413, 82
00559.jpg,16,69,489,436, 162
00560.jpg,13,224,494,504, 107
00561.jpg,120,180,458,453, 21
00562.jpg,83,162,471,411, 59
00563.jpg,5,66,511,444, 130
00564.jpg,36,103,480,425, 72
00565.jpg,119,99,415,419, 183
00566.jpg,133,144,404,404, 29
00567.jpg,36,91,479,426, 92
00568.jpg,36,182,485,436, 138
00569.jpg,10,124,471,360, 58
00570.jpg,19,116,472,509, 125
00571.jpg,35,89,504,480, 131
00572.jpg,39,163,448,402, 183
00573.jpg,25,143,328,507, 170
00574.jpg,79,115,417,440, 82
00575.jpg,10,80,505,475, 121
00576.jpg,39,63,458,411, 119
00577.jpg,36,158,475,467, 71
00578.jpg,70,123,372,425, 12
00579.jpg,73,131,380,427, 33
00580.jpg,15,102,503,458, 191
00581.jpg,124,191,448,409, 49
00582.jpg,4,43,512,452, 138
00583.jpg,91,93,482,442, 193
00584.jpg,69,80,429,458, 185
00585.jpg,124,105,428,467, 89
00586.jpg,61,277,486,512, 190
00587.jpg,22,135,503,433, 152
00588.jpg,23,147,488,409, 76
00589.jpg,34,177,470,412, 41
00590.jpg,15,40,510,512, 181
00591.jpg,52,38,458,475, 50
00592.jpg,49,136,492,414, 34
00593.jpg,25,81,484,409, 80
00594.jpg,26,90,476,421, 174
00595.jpg,72,152,465,437, 69
00596.jpg,21,168,502,419, 123
00597.jpg,49,172,485,488, 75
00598.jpg,42,194,477,458, 28
00599.jpg,35,79,435,418, 186
00600.jpg,60,35,460,463, 20
00601.jpg,14,36,487,450, 63
00602.jpg,23,28,481,468, 20
00603.jpg,9,50,502,370, 16
00604.jpg,38,161,478,477, 77
00605.jpg,35,183,490,511, 160
00606.jpg,49,48,447,450, 98
00607.jpg,58,208,456,478, 59
00608.jpg,108,243,393,402, 150
00609.jpg,42,104,494,407, 123
00610.jpg,98,82,453,418, 145
00611.jpg,15,88,494,409, 80
00612.jpg,26,104,475,417, 79
00613.jpg,19,72,484,487, 169
00614.jpg,0,12,511,461, 115
00615.jpg,38,90,482,443, 75
00616.jpg,39,63,471,413, 98
00617.jpg,31,88,493,508, 124
00618.jpg,21,161,499,464, 89
00619.jpg,80,78,492,448, 123
00620.jpg,53,73,497,478, 58
00621.jpg,6,26,506,497, 145
00622.jpg,30,84,484,497, 52
00623.jpg,26,165,489,460, 36
00624.jpg,52,103,446,410, 84
00625.jpg,9,56,505,469, 133
00626.jpg,38,75,491,414, 54
00627.jpg,140,143,384,383, 137
00628.jpg,27,45,496,500, 91
00629.jpg,5,26,512,509, 131
00630.jpg,85,68,422,480, 76
00631.jpg,20,22,491,455, 5
00632.jpg,29,149,434,383, 24
00633.jpg,65,148,469,365, 157
00634.jpg,25,94,488,451, 9
00635.jpg,38,87,465,389, 9
00636.jpg,47,87,473,457, 153
00637.jpg,39,40,493,442, 101
00638.jpg,5,108,510,414, 13
00639.jpg,28,120,427,463, 37
00640.jpg,27,199,490,474, 150
00641.jpg,11,120,479,444, 182
00642.jpg,63,139,445,452, 23
00643.jpg,29,134,488,377, 194
00644.jpg,44,147,470,372, 109
00645.jpg,30,44,462,383, 69
00646.jpg,13,86,453,332, 83
00647.jpg,54,205,445,480, 51
00648.jpg,29,204,475,471, 136
00649.jpg,32,178,421,492, 140
00650.jpg,65,185,452,449, 32
00651.jpg,5,140,500,489, 182
00652.jpg,9,68,505,459, 142
00653.jpg,38,157,496,372, 16
00654.jpg,35,52,511,379, 61
00655.jpg,41,123,464,386, 175
00656.jpg,47,122,486,412, 185
00657.jpg,11,41,504,445, 38
00658.jpg,65,120,430,449, 164
00659.jpg,68,205,446,473, 127
00660.jpg,138,158,397,355, 11
00661.jpg,9,100,508,405, 61
00662.jpg,37,60,489,485, 125
00663.jpg,35,93,493,329, 84
00664.jpg,21,69,435,448, 29
00665.jpg,23,121,472,406, 156
00666.jpg,86,124,459,320, 184
00667.jpg,21,60,463,434, 135
00668.jpg,26,134,476,458, 80
00669.jpg,23,108,486,490, 70
00670.jpg,90,68,423,456, 2
00671.jpg,23,133,495,396, 137
00672.jpg,98,42,446,485, 119
00673.jpg,42,2,442,512, 86
00674.jpg,15,66,471,421, 119
00675.jpg,41,189,419,382, 38
00676.jpg,28,114,496,414, 61
00677.jpg,25,103,496,426, 100
00678.jpg,52,266,489,461, 27
00679.jpg,121,219,435,436, 101
00680.jpg,100,133,421,396, 136
00681.jpg,4,44,510,476, 20
00682.jpg,17,32,475,428, 90
00683.jpg,93,1,475,479, 185
00684.jpg,46,40,476,486, 25
00685.jpg,70,179,459,371, 137
00686.jpg,38,118,492,432, 15
00687.jpg,83,63,427,431, 140
00688.jpg,37,4,432,502, 140
00689.jpg,71,89,445,416, 24
00690.jpg,126,93,393,370, 12
00691.jpg,71,215,488,427, 2
00692.jpg,34,64,418,455, 58
00693.jpg,32,68,467,411, 86
00694.jpg,27,113,436,395, 62
00695.jpg,69,85,453,488, 111
00696.jpg,1,86,504,393, 122
00697.jpg,13,62,477,434, 4
00698.jpg,57,63,432,396, 51
00699.jpg,29,43,487,452, 129
00700.jpg,99,143,430,389, 5
00701.jpg,37,126,471,465, 31
00702.jpg,181,215,456,474, 138
00703.jpg,22,194,503,479, 115
00704.jpg,8,30,504,464, 137
00705.jpg,24,15,501,482, 95
00706.jpg,10,21,500,475, 145
00707.jpg,19,37,495,487, 1
00708.jpg,51,223,451,455, 164
00709.jpg,82,218,466,424, 36
00710.jpg,23,98,490,425, 46
00711.jpg,23,22,498,483, 169
00712.jpg,146,198,418,456, 149
00713.jpg,29,54,483,480, 86
00714.jpg,60,154,482,473, 60
00715.jpg,34,91,504,451, 114
00716.jpg,15,240,506,498, 38
00717.jpg,16,33,487,382, 106
00718.jpg,118,133,448,364, 145
00719.jpg,104,123,335,419, 184
00720.jpg,32,264,486,499, 80
00721.jpg,78,328,445,512, 117
00722.jpg,49,108,452,432, 74
00723.jpg,16,192,480,419, 19
00724.jpg,170,75,406,351, 51
00725.jpg,105,42,413,438, 63
00726.jpg,13,224,486,480, 165
00727.jpg,2,126,512,376, 151
00728.jpg,64,150,453,411, 73
00729.jpg,68,227,448,493, 129
00730.jpg,24,59,495,421, 159
00731.jpg,24,53,494,481, 103
00732.jpg,22,273,324,480, 41
00733.jpg,246,174,473,391, 24
00734.jpg,8,131,436,437, 165
00735.jpg,5,51,508,432, 130
00736.jpg,20,8,486,509, 179
00737.jpg,82,29,456,460, 88
00738.jpg,33,163,481,414, 55
00739.jpg,23,91,480,397, 58
00740.jpg,29,101,471,450, 3
00741.jpg,32,86,503,437, 111
00742.jpg,9,68,510,487, 5
00743.jpg,36,122,501,485, 87
00744.jpg,44,65,473,457, 137
00745.jpg,25,76,472,411, 61
00746.jpg,20,49,499,498, 41
00747.jpg,116,223,416,405, 167
00748.jpg,62,90,455,435, 69
00749.jpg,27,100,504,430, 44
00750.jpg,21,119,473,438, 24
00751.jpg,33,164,489,351, 55
00752.jpg,97,129,460,460, 168
00753.jpg,54,136,439,446, 106
00754.jpg,49,2,473,481, 95
00755.jpg,19,54,379,505, 12
00756.jpg,17,55,494,404, 153
00757.jpg,96,177,431,435, 124
00758.jpg,19,131,493,428, 49
00759.jpg,20,120,489,472, 47
00760.jpg,40,2,471,511, 170
00761.jpg,45,139,456,423, 87
00762.jpg,4,129,506,455, 172
00763.jpg,52,211,470,435, 174
00764.jpg,10,204,500,506, 165
00765.jpg,10,74,506,471, 21
00766.jpg,16,150,473,484, 174
00767.jpg,60,62,457,465, 22
00768.jpg,18,90,493,443, 82
00769.jpg,30,148,479,379, 61
00770.jpg,13,38,494,466, 24
00771.jpg,17,70,500,495, 168
00772.jpg,24,33,488,483, 20
00773.jpg,67,136,403,408, 1
00774.jpg,36,212,492,460, 91
00775.jpg,63,129,440,460, 138
